Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day,Weekday Name,Revenue Per Unit,Gender Code,High Value,Customer Age Group,Season ,Quarter,Year-Month,,,,,,,Sales Performance,
24,29-11-2023,CUST024,Female,49,Clothing,1,300,300,2023,November,29,Wednesday,300,0,No,46+,Autumn,4,2023-11,,,,,,,Product-Level Insights,
25,26-12-2023,CUST025,Female,64,Beauty,1,50,50,2023,December,26,Tuesday,50,0,No,46+,Winter,4,2023-12,,,,,,,,
26,07-10-2023,CUST026,Female,28,Electronics,2,500,1000,2023,October,7,Saturday,500,0,No,18-30,Autumn,4,2023-10,,,,,,,11. Which product category sells the most units?,
27,03-08-2023,CUST027,Female,38,Beauty,2,25,50,2023,August,3,Thursday,25,0,No,31-45,Monsoon,3,2023-08,,,,,,,,
28,23-04-2023,CUST028,Female,43,Beauty,1,500,500,2023,April,23,Sunday,500,0,No,31-45,Summer,2,2023-04,,,,,,,12. Which product category is the most profitable?,
29,18-08-2023,CUST029,Female,42,Electronics,1,30,30,2023,August,18,Friday,30,0,No,31-45,Monsoon,3,2023-08,,,,,,,,
30,29-10-2023,CUST030,Female,39,Beauty,3,300,900,2023,October,29,Sunday,300,0,No,31-45,Autumn,4,2023-10,,,,,,,13. What is the average price per unit per category?,
31,23-05-2023,CUST031,Male,44,Electronics,4,300,1200,2023,May,23,Tuesday,300,1,Yes,31-45,Summer,2,2023-05,,,,,,,,
32,04-01-2023,CUST032,Male,30,Beauty,3,30,90,2023,January,4,Wednesday,30,1,No,18-30,Winter,1,2023-01,,,,,,,14. Which product category is popular among different age groups?,
33,23-03-2023,CUST033,Female,50,Electronics,2,50,100,2023,March,23,Thursday,50,0,No,46+,Summer,1,2023-03,,,,,,,,
34,24-12-2023,CUST034,Female,51,Clothing,3,50,150,2023,December,24,Sunday,50,0,No,46+,Winter,4,2023-12,,,,,,,Time-Based Patterns,
35,05-08-2023,CUST035,Female,58,Beauty,3,300,900,2023,August,5,Saturday,300,0,No,46+,Monsoon,3,2023-08,,,,,,,,
36,24-06-2023,CUST036,Male,52,Beauty,3,300,900,2023,June,24,Saturday,300,1,No,46+,Monsoon,2,2023-06,,,,,,,15. Which days of the week see the highest sales?,
37,23-05-2023,CUST037,Female,18,Beauty,3,25,75,2023,May,23,Tuesday,25,0,No,18-30,Summer,2,2023-05,,,,,,,,
38,21-03-2023,CUST038,Male,38,Beauty,4,50,200,2023,March,21,Tuesday,50,1,No,31-45,Summer,1,2023-03,,,,,,,"16. What is the seasonal trend in sales (Q1, Q2, etc.)?",
39,21-04-2023,CUST039,Male,23,Clothing,4,30,120,2023,April,21,Friday,30,1,No,18-30,Summer,2,2023-04,,,,,,,,
40,22-06-2023,CUST040,Male,45,Beauty,1,50,50,2023,June,22,Thursday,50,1,No,31-45,Monsoon,2,2023-06,,,,,,,17. Are sales increasing or decreasing over time?,
41,22-02-2023,CUST041,Male,34,Clothing,2,25,50,2023,February,22,Wednesday,25,1,No,31-45,Winter,1,2023-02,,,,,,,,
42,17-02-2023,CUST042,Male,22,Clothing,3,300,900,2023,February,17,Friday,300,1,No,18-30,Winter,1,2023-02,,,,,,,,
43,14-07-2023,CUST043,Female,48,Clothing,1,300,300,2023,July,14,Friday,300,0,No,46+,Monsoon,3,2023-07,,,,,,,,
44,19-02-2023,CUST044,Female,22,Clothing,1,25,25,2023,February,19,Sunday,25,0,No,18-30,Winter,1,2023-02,,,,,,,,
45,03-07-2023,CUST045,Female,55,Electronics,1,30,30,2023,July,3,Monday,30,0,No,46+,Monsoon,3,2023-07,,,,,,,,
46,26-06-2023,CUST046,Female,20,Electronics,4,300,1200,2023,June,26,Monday,300,0,Yes,18-30,Monsoon,2,2023-06,,,,,,,,
47,06-11-2023,CUST047,Female,40,Beauty,3,500,1500,2023,November,6,Monday,500,0,Yes,31-45,Autumn,4,2023-11,,,,,,,,
48,16-05-2023,CUST048,Male,54,Electronics,3,300,900,2023,May,16,Tuesday,300,1,No,46+,Summer,2,2023-05,,,,,,,,
49,23-01-2023,CUST049,Female,54,Electronics,2,500,1000,2023,January,23,Monday,500,0,No,46+,Winter,1,2023-01,,,,,,,,
50,24-08-2023,CUST050,Female,27,Beauty,3,25,75,2023,August,24,Thursday,25,0,No,18-30,Monsoon,3,2023-08,,,,,,,,
51,02-10-2023,CUST051,Male,27,Beauty,3,25,75,2023,October,2,Monday,25,1,No,18-30,Autumn,4,2023-10,,,,,,,,
52,05-03-2023,CUST052,Female,36,Beauty,1,300,300,2023,March,5,Sunday,300,0,No,31-45,Summer,1,2023-03,,,,,,,,
53,13-07-2023,CUST053,Male,34,Electronics,2,50,100,2023,July,13,Thursday,50,1,No,31-45,Monsoon,3,2023-07,,,,,,,,
54,10-02-2023,CUST054,Female,38,Electronics,3,500,1500,2023,February,10,Friday,500,0,Yes,31-45,Winter,1,2023-02,,,,,,,,
55,10-10-2023,CUST055,Male,31,Beauty,4,30,120,2023,October,10,Tuesday,30,1,No,31-45,Autumn,4,2023-10,,,,,,,,
56,31-05-2023,CUST056,Female,26,Clothing,3,300,900,2023,May,31,Wednesday,300,0,No,18-30,Summer,2,2023-05,,,,,,,,
57,18-11-2023,CUST057,Female,63,Beauty,1,30,30,2023,November,18,Saturday,30,0,No,46+,Autumn,4,2023-11,,,,,,,,
58,13-11-2023,CUST058,Male,18,Clothing,4,300,1200,2023,November,13,Monday,300,1,Yes,18-30,Autumn,4,2023-11,,,,,,,,
59,05-07-2023,CUST059,Male,62,Clothing,1,50,50,2023,July,5,Wednesday,50,1,No,46+,Monsoon,3,2023-07,,,,,,,,
60,23-10-2023,CUST060,Male,30,Beauty,3,50,150,2023,October,23,Monday,50,1,No,18-30,Autumn,4,2023-10,,,,,,,,
61,09-04-2023,CUST061,Male,21,Beauty,4,50,200,2023,April,9,Sunday,50,1,No,18-30,Summer,2,2023-04,,,,,,,,
62,27-12-2023,CUST062,Male,18,Beauty,2,50,100,2023,December,27,Wednesday,50,1,No,18-30,Winter,4,2023-12,,,,,,,,
63,05-02-2023,CUST063,Male,57,Electronics,2,25,50,2023,February,5,Sunday,25,1,No,46+,Winter,1,2023-02,,,,,,,,
64,24-01-2023,CUST064,Male,49,Clothing,4,25,100,2023,January,24,Tuesday,25,1,No,46+,Winter,1,2023-01,,,,,,,,
65,05-12-2023,CUST065,Male,51,Electronics,4,500,2000,2023,December,5,Tuesday,500,1,Yes,46+,Winter,4,2023-12,,,,,,,,
66,27-04-2023,CUST066,Female,45,Electronics,1,30,30,2023,April,27,Thursday,30,0,No,31-45,Summer,2,2023-04,,,,,,,,
67,29-05-2023,CUST067,Female,48,Beauty,4,300,1200,2023,May,29,Monday,300,0,Yes,46+,Summer,2,2023-05,,,,,,,,
68,10-02-2023,CUST068,Male,25,Electronics,1,300,300,2023,February,10,Friday,300,1,No,18-30,Winter,1,2023-02,,,,,,,,
69,30-04-2023,CUST069,Female,56,Beauty,3,25,75,2023,April,30,Sunday,25,0,No,46+,Summer,2,2023-04,,,,,,,,
70,21-02-2023,CUST070,Female,43,Clothing,1,300,300,2023,February,21,Tuesday,300,0,No,31-45,Winter,1,2023-02,,,,,,,,
71,14-07-2023,CUST071,Female,51,Beauty,4,25,100,2023,July,14,Friday,25,0,No,46+,Monsoon,3,2023-07,,,,,,,,
72,23-05-2023,CUST072,Female,20,Electronics,4,500,2000,2023,May,23,Tuesday,500,0,Yes,18-30,Summer,2,2023-05,,,,,,,,
73,21-08-2023,CUST073,Male,29,Electronics,3,30,90,2023,August,21,Monday,30,1,No,18-30,Monsoon,3,2023-08,,,,,,,,
74,22-11-2023,CUST074,Female,18,Beauty,4,500,2000,2023,November,22,Wednesday,500,0,Yes,18-30,Autumn,4,2023-11,,,,,,,,
75,06-07-2023,CUST075,Male,61,Beauty,4,50,200,2023,July,6,Thursday,50,1,No,46+,Monsoon,3,2023-07,,,,,,,,
76,25-03-2023,CUST076,Female,22,Electronics,2,50,100,2023,March,25,Saturday,50,0,No,18-30,Summer,1,2023-03,,,,,,,,
77,09-07-2023,CUST077,Female,47,Clothing,2,50,100,2023,July,9,Sunday,50,0,No,46+,Monsoon,3,2023-07,,,,,,,,
78,01-07-2023,CUST078,Female,47,Clothing,3,500,1500,2023,July,1,Saturday,500,0,Yes,46+,Monsoon,3,2023-07,,,,,,,,
79,18-04-2023,CUST079,Male,34,Beauty,1,300,300,2023,April,18,Tuesday,300,1,No,31-45,Summer,2,2023-04,,,,,,,,
80,10-12-2023,CUST080,Female,64,Clothing,2,30,60,2023,December,10,Sunday,30,0,No,46+,Winter,4,2023-12,,,,,,,,
81,17-05-2023,CUST081,Male,40,Electronics,1,50,50,2023,May,17,Wednesday,50,1,No,31-45,Summer,2,2023-05,,,,,,,,
82,26-12-2023,CUST082,Female,32,Beauty,4,50,200,2023,December,26,Tuesday,50,0,No,31-45,Winter,4,2023-12,,,,,,,,
83,16-12-2023,CUST083,Male,54,Electronics,2,50,100,2023,December,16,Saturday,50,1,No,46+,Winter,4,2023-12,,,,,,,,
84,28-11-2023,CUST084,Female,38,Electronics,3,30,90,2023,November,28,Tuesday,30,0,No,31-45,Autumn,4,2023-11,,,,,,,,
85,06-02-2023,CUST085,Male,31,Clothing,3,50,150,2023,February,6,Monday,50,1,No,31-45,Winter,1,2023-02,,,,,,,,
86,08-11-2023,CUST086,Male,19,Beauty,3,30,90,2023,November,8,Wednesday,30,1,No,18-30,Autumn,4,2023-11,,,,,,,,
87,22-11-2023,CUST087,Female,28,Beauty,2,50,100,2023,November,22,Wednesday,50,0,No,18-30,Autumn,4,2023-11,,,,,,,,
88,29-03-2023,CUST088,Male,56,Clothing,1,500,500,2023,March,29,Wednesday,500,1,No,46+,Summer,1,2023-03,,,,,,,,
89,01-10-2023,CUST089,Female,55,Electronics,4,500,2000,2023,October,1,Sunday,500,0,Yes,46+,Autumn,4,2023-10,,,,,,,,
90,06-05-2023,CUST090,Female,51,Electronics,1,30,30,2023,May,6,Saturday,30,0,No,46+,Summer,2,2023-05,,,,,,,,
91,25-03-2023,CUST091,Female,55,Electronics,1,500,500,2023,March,25,Saturday,500,0,No,46+,Summer,1,2023-03,,,,,,,,
92,25-08-2023,CUST092,Female,51,Electronics,4,30,120,2023,August,25,Friday,30,0,No,46+,Monsoon,3,2023-08,,,,,,,,
93,14-07-2023,CUST093,Female,35,Beauty,4,500,2000,2023,July,14,Friday,500,0,Yes,31-45,Monsoon,3,2023-07,,,,,,,,
94,19-05-2023,CUST094,Female,47,Beauty,2,500,1000,2023,May,19,Friday,500,0,No,46+,Summer,2,2023-05,,,,,,,,
95,24-11-2023,CUST095,Female,32,Clothing,2,30,60,2023,November,24,Friday,30,0,No,31-45,Autumn,4,2023-11,,,,,,,,
96,19-12-2023,CUST096,Female,44,Clothing,2,300,600,2023,December,19,Tuesday,300,0,No,31-45,Winter,4,2023-12,,,,,,,,
97,13-10-2023,CUST097,Female,51,Beauty,2,500,1000,2023,October,13,Friday,500,0,No,46+,Autumn,4,2023-10,,,,,,,,
98,23-04-2023,CUST098,Female,55,Beauty,2,50,100,2023,April,23,Sunday,50,0,No,46+,Summer,2,2023-04,,,,,,,,
99,17-12-2023,CUST099,Female,50,Electronics,4,300,1200,2023,December,17,Sunday,300,0,Yes,46+,Winter,4,2023-12,,,,,,,,
100,16-06-2023,CUST100,Male,41,Electronics,1,30,30,2023,June,16,Friday,30,1,No,31-45,Monsoon,2,2023-06,,,,,,,,
101,29-01-2023,CUST101,Male,32,Clothing,2,300,600,2023,January,29,Sunday,300,1,No,31-45,Winter,1,2023-01,,,,,,,,
102,28-04-2023,CUST102,Female,47,Beauty,2,25,50,2023,April,28,Friday,25,0,No,46+,Summer,2,2023-04,,,,,,,,
103,17-01-2023,CUST103,Female,59,Clothing,1,25,25,2023,January,17,Tuesday,25,0,No,46+,Winter,1,2023-01,,,,,,,,
104,11-06-2023,CUST104,Female,34,Beauty,2,500,1000,2023,June,11,Sunday,500,0,No,31-45,Monsoon,2,2023-06,,,,,,,,
105,25-07-2023,CUST105,Female,22,Electronics,1,500,500,2023,July,25,Tuesday,500,0,No,18-30,Monsoon,3,2023-07,,,,,,,,
106,18-05-2023,CUST106,Female,46,Clothing,1,50,50,2023,May,18,Thursday,50,0,No,46+,Summer,2,2023-05,,,,,,,,
107,03-02-2023,CUST107,Female,21,Clothing,4,300,1200,2023,February,3,Friday,300,0,Yes,18-30,Winter,1,2023-02,,,,,,,,
108,19-04-2023,CUST108,Female,27,Beauty,3,25,75,2023,April,19,Wednesday,25,0,No,18-30,Summer,2,2023-04,,,,,,,,
109,18-10-2023,CUST109,Female,34,Electronics,4,500,2000,2023,October,18,Wednesday,500,0,Yes,31-45,Autumn,4,2023-10,,,,,,,,
110,11-06-2023,CUST110,Male,27,Clothing,3,300,900,2023,June,11,Sunday,300,1,No,18-30,Monsoon,2,2023-06,,,,,,,,
111,19-04-2023,CUST111,Female,34,Electronics,3,500,1500,2023,April,19,Wednesday,500,0,Yes,31-45,Summer,2,2023-04,,,,,,,,
112,02-12-2023,CUST112,Male,37,Clothing,3,500,1500,2023,December,2,Saturday,500,1,Yes,31-45,Winter,4,2023-12,,,,,,,,
113,13-09-2023,CUST113,Female,41,Electronics,2,25,50,2023,September,13,Wednesday,25,0,No,31-45,Monsoon,3,2023-09,,,,,,,,
114,22-07-2023,CUST114,Female,22,Beauty,4,25,100,2023,July,22,Saturday,25,0,No,18-30,Monsoon,3,2023-07,,,,,,,,
115,26-11-2023,CUST115,Male,51,Clothing,3,500,1500,2023,November,26,Sunday,500,1,Yes,46+,Autumn,4,2023-11,,,,,,,,
116,23-08-2023,CUST116,Female,23,Clothing,1,30,30,2023,August,23,Wednesday,30,0,No,18-30,Monsoon,3,2023-08,,,,,,,,
117,15-03-2023,CUST117,Male,19,Electronics,2,500,1000,2023,March,15,Wednesday,500,1,No,18-30,Summer,1,2023-03,,,,,,,,
118,16-05-2023,CUST118,Female,30,Electronics,4,500,2000,2023,May,16,Tuesday,500,0,Yes,18-30,Summer,2,2023-05,,,,,,,,
119,13-03-2023,CUST119,Female,60,Clothing,3,50,150,2023,March,13,Monday,50,0,No,46+,Summer,1,2023-03,,,,,,,,
120,07-05-2023,CUST120,Male,60,Beauty,1,50,50,2023,May,7,Sunday,50,1,No,46+,Summer,2,2023-05,,,,,,,,
121,15-10-2023,CUST121,Female,28,Electronics,4,50,200,2023,October,15,Sunday,50,0,No,18-30,Autumn,4,2023-10,,,,,,,,
122,03-10-2023,CUST122,Male,64,Electronics,4,30,120,2023,October,3,Tuesday,30,1,No,46+,Autumn,4,2023-10,,,,,,,,
123,15-05-2023,CUST123,Female,40,Electronics,2,30,60,2023,May,15,Monday,30,0,No,31-45,Summer,2,2023-05,,,,,,,,
124,27-10-2023,CUST124,Male,33,Clothing,4,500,2000,2023,October,27,Friday,500,1,Yes,31-45,Autumn,4,2023-10,,,,,,,,
125,08-08-2023,CUST125,Male,48,Clothing,2,50,100,2023,August,8,Tuesday,50,1,No,46+,Monsoon,3,2023-08,,,,,,,,
126,26-10-2023,CUST126,Female,28,Clothing,3,30,90,2023,October,26,Thursday,30,0,No,18-30,Autumn,4,2023-10,,,,,,,,
127,24-07-2023,CUST127,Female,33,Clothing,2,25,50,2023,July,24,Monday,25,0,No,31-45,Monsoon,3,2023-07,,,,,,,,
128,05-07-2023,CUST128,Male,25,Beauty,1,500,500,2023,July,5,Wednesday,500,1,No,18-30,Monsoon,3,2023-07,,,,,,,,
129,23-04-2023,CUST129,Female,21,Beauty,2,300,600,2023,April,23,Sunday,300,0,No,18-30,Summer,2,2023-04,,,,,,,,
130,12-03-2023,CUST130,Female,57,Clothing,1,500,500,2023,March,12,Sunday,500,0,No,46+,Summer,1,2023-03,,,,,,,,
131,18-09-2023,CUST131,Female,21,Beauty,2,300,600,2023,September,18,Monday,300,0,No,18-30,Monsoon,3,2023-09,,,,,,,,
132,10-09-2023,CUST132,Male,42,Electronics,4,50,200,2023,September,10,Sunday,50,1,No,31-45,Monsoon,3,2023-09,,,,,,,,
133,16-02-2023,CUST133,Male,20,Electronics,3,300,900,2023,February,16,Thursday,300,1,No,18-30,Winter,1,2023-02,,,,,,,,
134,25-01-2023,CUST134,Male,49,Electronics,1,50,50,2023,January,25,Wednesday,50,1,No,46+,Winter,1,2023-01,,,,,,,,
135,26-02-2023,CUST135,Male,20,Clothing,2,25,50,2023,February,26,Sunday,25,1,No,18-30,Winter,1,2023-02,,,,,,,,
136,20-03-2023,CUST136,Male,44,Electronics,2,300,600,2023,March,20,Monday,300,1,No,31-45,Summer,1,2023-03,,,,,,,,
137,18-11-2023,CUST137,Male,46,Beauty,2,500,1000,2023,November,18,Saturday,500,1,No,46+,Autumn,4,2023-11,,,,,,,,
138,23-03-2023,CUST138,Male,49,Clothing,4,50,200,2023,March,23,Thursday,50,1,No,46+,Summer,1,2023-03,,,,,,,,
139,15-12-2023,CUST139,Male,36,Beauty,4,500,2000,2023,December,15,Friday,500,1,Yes,31-45,Winter,4,2023-12,,,,,,,,
140,05-08-2023,CUST140,Male,38,Electronics,1,30,30,2023,August,5,Saturday,30,1,No,31-45,Monsoon,3,2023-08,,,,,,,,
141,02-11-2023,CUST141,Female,22,Electronics,1,50,50,2023,November,2,Thursday,50,0,No,18-30,Autumn,4,2023-11,,,,,,,,
142,02-02-2023,CUST142,Male,35,Electronics,4,300,1200,2023,February,2,Thursday,300,1,Yes,31-45,Winter,1,2023-02,,,,,,,,
143,17-07-2023,CUST143,Female,45,Clothing,1,50,50,2023,July,17,Monday,50,0,No,31-45,Monsoon,3,2023-07,,,,,,,,
144,15-07-2023,CUST144,Female,59,Beauty,3,500,1500,2023,July,15,Saturday,500,0,Yes,46+,Monsoon,3,2023-07,,,,,,,,
145,02-11-2023,CUST145,Female,39,Clothing,3,25,75,2023,November,2,Thursday,25,0,No,31-45,Autumn,4,2023-11,,,,,,,,
146,28-08-2023,CUST146,Male,38,Clothing,4,50,200,2023,August,28,Monday,50,1,No,31-45,Monsoon,3,2023-08,,,,,,,,
147,28-09-2023,CUST147,Male,23,Electronics,1,300,300,2023,September,28,Thursday,300,1,No,18-30,Monsoon,3,2023-09,,,,,,,,
148,09-05-2023,CUST148,Male,18,Clothing,2,30,60,2023,May,9,Tuesday,30,1,No,18-30,Summer,2,2023-05,,,,,,,,
149,11-10-2023,CUST149,Male,22,Clothing,3,25,75,2023,October,11,Wednesday,25,1,No,18-30,Autumn,4,2023-10,,,,,,,,
150,06-01-2023,CUST150,Female,58,Electronics,4,30,120,2023,January,6,Friday,30,0,No,46+,Winter,1,2023-01,,,,,,,,
151,15-12-2023,CUST151,Male,29,Clothing,1,50,50,2023,December,15,Friday,50,1,No,18-30,Winter,4,2023-12,,,,,,,,
152,28-02-2023,CUST152,Male,43,Electronics,4,500,2000,2023,February,28,Tuesday,500,1,Yes,31-45,Winter,1,2023-02,,,,,,,,
153,16-12-2023,CUST153,Male,63,Electronics,2,500,1000,2023,December,16,Saturday,500,1,No,46+,Winter,4,2023-12,,,,,,,,
154,02-10-2023,CUST154,Male,51,Electronics,3,300,900,2023,October,2,Monday,300,1,No,46+,Autumn,4,2023-10,,,,,,,,
155,17-05-2023,CUST155,Male,31,Electronics,4,500,2000,2023,May,17,Wednesday,500,1,Yes,31-45,Summer,2,2023-05,,,,,,,,
156,25-11-2023,CUST156,Female,43,Clothing,4,25,100,2023,November,25,Saturday,25,0,No,31-45,Autumn,4,2023-11,,,,,,,,
157,24-06-2023,CUST157,Male,62,Electronics,4,500,2000,2023,June,24,Saturday,500,1,Yes,46+,Monsoon,2,2023-06,,,,,,,,
158,27-02-2023,CUST158,Female,44,Electronics,2,300,600,2023,February,27,Monday,300,0,No,31-45,Winter,1,2023-02,,,,,,,,
159,31-05-2023,CUST159,Male,26,Clothing,4,50,200,2023,May,31,Wednesday,50,1,No,18-30,Summer,2,2023-05,,,,,,,,
160,11-08-2023,CUST160,Female,43,Clothing,2,50,100,2023,August,11,Friday,50,0,No,31-45,Monsoon,3,2023-08,,,,,,,,
161,22-03-2023,CUST161,Male,64,Beauty,2,500,1000,2023,March,22,Wednesday,500,1,No,46+,Summer,1,2023-03,,,,,,,,
162,21-08-2023,CUST162,Male,39,Clothing,2,30,60,2023,August,21,Monday,30,1,No,31-45,Monsoon,3,2023-08,,,,,,,,
163,02-01-2023,CUST163,Female,64,Clothing,3,50,150,2023,January,2,Monday,50,0,No,46+,Winter,1,2023-01,,,,,,,,
164,15-05-2023,CUST164,Female,47,Beauty,3,500,1500,2023,May,15,Monday,500,0,Yes,46+,Summer,2,2023-05,,,,,,,,
165,14-09-2023,CUST165,Female,60,Clothing,4,300,1200,2023,September,14,Thursday,300,0,Yes,46+,Monsoon,3,2023-09,,,,,,,,
166,02-04-2023,CUST166,Male,34,Clothing,4,500,2000,2023,April,2,Sunday,500,1,Yes,31-45,Summer,2,2023-04,,,,,,,,
167,17-09-2023,CUST167,Female,43,Clothing,3,50,150,2023,September,17,Sunday,50,0,No,31-45,Monsoon,3,2023-09,,,,,,,,
168,24-02-2023,CUST168,Male,53,Clothing,1,300,300,2023,February,24,Friday,300,1,No,46+,Winter,1,2023-02,,,,,,,,
169,17-11-2023,CUST169,Male,18,Beauty,3,500,1500,2023,November,17,Friday,500,1,Yes,18-30,Autumn,4,2023-11,,,,,,,,
170,02-06-2023,CUST170,Female,25,Clothing,2,25,50,2023,June,2,Friday,25,0,No,18-30,Monsoon,2,2023-06,,,,,,,,
171,24-11-2023,CUST171,Female,52,Clothing,3,300,900,2023,November,24,Friday,300,0,No,46+,Autumn,4,2023-11,,,,,,,,
172,17-09-2023,CUST172,Male,32,Beauty,2,25,50,2023,September,17,Sunday,25,1,No,31-45,Monsoon,3,2023-09,,,,,,,,
173,08-11-2023,CUST173,Male,64,Electronics,4,30,120,2023,November,8,Wednesday,30,1,No,46+,Autumn,4,2023-11,,,,,,,,
174,12-04-2023,CUST174,Female,39,Beauty,1,300,300,2023,April,12,Wednesday,300,0,No,31-45,Summer,2,2023-04,,,,,,,,
175,20-03-2023,CUST175,Female,31,Electronics,4,25,100,2023,March,20,Monday,25,0,No,31-45,Summer,1,2023-03,,,,,,,,
176,11-07-2023,CUST176,Female,43,Beauty,2,50,100,2023,July,11,Tuesday,50,0,No,31-45,Monsoon,3,2023-07,,,,,,,,
177,24-03-2023,CUST177,Male,45,Beauty,2,50,100,2023,March,24,Friday,50,1,No,31-45,Summer,1,2023-03,,,,,,,,
178,04-10-2023,CUST178,Male,40,Clothing,2,30,60,2023,October,4,Wednesday,30,1,No,31-45,Autumn,4,2023-10,,,,,,,,
179,29-09-2023,CUST179,Male,31,Electronics,1,300,300,2023,September,29,Friday,300,1,No,31-45,Monsoon,3,2023-09,,,,,,,,
180,01-01-2023,CUST180,Male,41,Clothing,3,300,900,2023,January,1,Sunday,300,1,No,31-45,Winter,1,2023-01,,,,,,,,
181,03-11-2023,CUST181,Male,19,Electronics,4,300,1200,2023,November,3,Friday,300,1,Yes,18-30,Autumn,4,2023-11,,,,,,,,
182,15-06-2023,CUST182,Male,62,Beauty,4,30,120,2023,June,15,Thursday,30,1,No,46+,Monsoon,2,2023-06,,,,,,,,
183,08-09-2023,CUST183,Female,43,Beauty,3,300,900,2023,September,8,Friday,300,0,No,31-45,Monsoon,3,2023-09,,,,,,,,
184,10-01-2023,CUST184,Male,31,Electronics,4,50,200,2023,January,10,Tuesday,50,1,No,31-45,Winter,1,2023-01,,,,,,,,
185,27-02-2023,CUST185,Male,24,Clothing,1,25,25,2023,February,27,Monday,25,1,No,18-30,Winter,1,2023-02,,,,,,,,
186,05-07-2023,CUST186,Male,20,Clothing,4,50,200,2023,July,5,Wednesday,50,1,No,18-30,Monsoon,3,2023-07,,,,,,,,
